lead_id;lead_link;source;final_stage;date_added;pipeline_22.04.2026;stage_22.04.2026;pipeline_23.04.2026;stage_23.04.2026;pipeline_24.04.2026;stage_24.04.2026;pipeline_27.04.2026;stage_27.04.2026;pipeline_28.04.2026;stage_28.04.2026
37745375;https://alladin116.amocrm.ru/leads/detail/37745375;Коол Центр;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;
37745369;https://alladin116.amocrm.ru/leads/detail/37745369;повторный заказ;;27.04.2026;;;;;;;2. ОГЗ Фокусные;Запущен процесс оформления Договора;2. ОГЗ Фокусные;Запущен процесс оформления Договора
37745345;https://alladin116.amocrm.ru/leads/detail/37745345;Коол Центр;;27.04.2026;;;;;;;4. ОГЗ Долгосрочные;6 месяцев;4. ОГЗ Долгосрочные;6 месяцев
37745339;https://alladin116.amocrm.ru/leads/detail/37745339;Коол Центр;;27.04.2026;;;;;;;1. ОГЗ Квалификация;Контакт установлен;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы
37745305;https://alladin116.amocrm.ru/leads/detail/37745305;Коол Центр;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;
37745299;https://alladin116.amocrm.ru/leads/detail/37745299;yandex;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;
37745293;https://alladin116.amocrm.ru/leads/detail/37745293;повторный заказ;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;
37745253;https://alladin116.amocrm.ru/leads/detail/37745253;Коол Центр;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;
37745243;https://alladin116.amocrm.ru/leads/detail/37745243;Коол Центр;;27.04.2026;;;;;;;4. ОГЗ Долгосрочные;3 месяца;4. ОГЗ Долгосрочные;3 месяца
37745227;https://alladin116.amocrm.ru/leads/detail/37745227;Коол Центр;Закрыто и не реализовано;27.04.2026;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;
37745893;https://alladin116.amocrm.ru/leads/detail/37745893;Коол Центр;;28.04.2026;;;;;;;;;2. ОГЗ Фокусные;Подготовлено КП
37745875;https://alladin116.amocrm.ru/leads/detail/37745875;Коол Центр;;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Контакт установлен
37745869;https://alladin116.amocrm.ru/leads/detail/37745869;Коол Центр;;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Контакт установлен
37745861;https://alladin116.amocrm.ru/leads/detail/37745861;Коол Центр;;28.04.2026;;;;;;;;;4. ОГЗ Долгосрочные;6 месяцев
37745795;https://alladin116.amocrm.ru/leads/detail/37745795;Коол Центр;;28.04.2026;;;;;;;;;3. ОГЗ Упрощенное;Получены материалы по проекту (в тч Договор)
37745765;https://alladin116.amocrm.ru/leads/detail/37745765;Коол Центр;;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Недозвон
37745733;https://alladin116.amocrm.ru/leads/detail/37745733;Коол Центр;Закрыто и не реализовано;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано
37745723;https://alladin116.amocrm.ru/leads/detail/37745723;yandex;Закрыто и не реализовано;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано
37745693;https://alladin116.amocrm.ru/leads/detail/37745693;Коол Центр;;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Контакт установлен
37745677;https://alladin116.amocrm.ru/leads/detail/37745677;Коол Центр;;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Недозвон
37745659;https://alladin116.amocrm.ru/leads/detail/37745659;Коол Центр;;28.04.2026;;;;;;;;;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы
37745655;https://alladin116.amocrm.ru/leads/detail/37745655;Коол Центр;;28.04.2026;;;;;;;;;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы
37745647;https://alladin116.amocrm.ru/leads/detail/37745647;Коол Центр;;28.04.2026;;;;;;;;;4. ОГЗ Долгосрочные;6 месяцев
37745643;https://alladin116.amocrm.ru/leads/detail/37745643;Коол Центр;Закрыто и не реализовано;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано
37745631;https://alladin116.amocrm.ru/leads/detail/37745631;Коол Центр;Закрыто и не реализовано;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Закрыто и не реализовано
37745627;https://alladin116.amocrm.ru/leads/detail/37745627;Коол Центр;;28.04.2026;;;;;;;;;1. ОГЗ Квалификация;Недозвон
